trade_date,energy_price,energy_volume,CAD/USD,DXY,EUR/USD,NOK/USD,RUB/USD,oil_storage
2021-01-04T00:00:00.000+0000,47.62,528525,0.786,89.88,1.2251,0.117,0.0135,485459
2021-01-05T00:00:00.000+0000,49.93,643191,0.7824,89.44,1.2252,0.1169,0.0134,485459
2021-01-06T00:00:00.000+0000,50.63,509365,0.789,89.53,1.23,0.1182,0.0135,485459
2021-01-07T00:00:00.000+0000,50.83,369292,0.7896,89.83,1.2341,0.1191,0.0135,485459
2021-01-08T00:00:00.000+0000,52.24,499416,0.7884,90.1,1.2271,0.1187,0.0134,482211
2021-01-11T00:00:00.000+0000,52.25,394822,0.7855,90.54,1.2186,0.1182,0.0134,482211
2021-01-12T00:00:00.000+0000,53.21,400200,0.783,90.05,1.2161,0.1173,0.0134,482211
2021-01-13T00:00:00.000+0000,52.91,429898,0.7869,90.32,1.2209,0.1184,0.0136,482211
2021-01-14T00:00:00.000+0000,53.57,390087,0.7875,90.24,1.2162,0.1182,0.0135,482211
2021-01-15T00:00:00.000+0000,52.36,165668,0.7907,90.78,1.2151,0.1181,0.0136,486563
2021-01-19T00:00:00.000+0000,52.98,125964,0.7844,90.5,1.2077,0.1164,0.0135,486563
2021-01-20T00:00:00.000+0000,53.24,400301,0.786,90.47,1.2139,0.1174,0.0136,486563
2021-01-21T00:00:00.000+0000,53.13,352397,0.792,90.13,1.2116,0.118,0.0136,486563
2021-01-22T00:00:00.000+0000,52.27,437484,0.7907,90.24,1.2166,0.119,0.0135,476653
2021-01-25T00:00:00.000+0000,52.77,349076,0.786,90.39,1.2169,0.1181,0.0133,476653
2021-01-26T00:00:00.000+0000,52.61,314538,0.7851,90.17,1.2146,0.1172,0.0133,476653
2021-01-27T00:00:00.000+0000,52.85,442376,0.7878,90.65,1.2163,0.117,0.0133,476653
2021-01-28T00:00:00.000+0000,52.34,411406,0.7803,90.46,1.2105,0.1155,0.0132,476653
2021-01-29T00:00:00.000+0000,52.2,410914,0.7794,90.58,1.212,0.1163,0.0131,475659
2021-02-01T00:00:00.000+0000,53.55,416067,0.7811,91.02,1.2124,0.1162,0.0132,475659
2021-02-02T00:00:00.000+0000,54.76,463718,0.7785,91.2,1.2069,0.1165,0.0131,475659
2021-02-03T00:00:00.000+0000,55.69,448693,0.7822,91.12,1.2039,0.1163,0.0131,475659
2021-02-04T00:00:00.000+0000,56.23,381404,0.7822,91.53,1.2042,0.1166,0.0132,475659
2021-02-05T00:00:00.000+0000,56.85,400833,0.7799,91.04,1.1967,0.1159,0.0132,469014
2021-02-08T00:00:00.000+0000,57.97,399724,0.7838,90.93,1.2049,0.1173,0.0134,469014
2021-02-09T00:00:00.000+0000,58.36,514698,0.7851,90.44,1.2054,0.1178,0.0135,469014
2021-02-10T00:00:00.000+0000,58.68,457535,0.7876,90.37,1.212,0.1184,0.0135,469014
2021-02-11T00:00:00.000+0000,58.24,380445,0.7876,90.42,1.2121,0.1182,0.0135,469014
2021-02-12T00:00:00.000+0000,59.47,480822,0.7874,90.48,1.2132,0.118,0.0136,461757
2021-02-16T00:00:00.000+0000,60.05,602332,0.7914,90.51,1.2132,0.1192,0.0136,461757
2021-02-17T00:00:00.000+0000,61.14,335419,0.7868,90.95,1.2092,0.1182,0.0136,461757
2021-02-18T00:00:00.000+0000,60.52,132035,0.7874,90.59,1.2048,0.1177,0.0136,461757
2021-02-19T00:00:00.000+0000,59.24,102427,0.7886,90.36,1.2092,0.1182,0.0135,463042
2021-02-22T00:00:00.000+0000,61.49,505773,0.7937,90.01,1.2126,0.1184,0.0135,463042
2021-02-23T00:00:00.000+0000,61.67,570677,0.7931,90.17,1.2167,0.1178,0.0135,463042
2021-02-24T00:00:00.000+0000,63.22,489933,0.7941,90.18,1.2152,0.1181,0.0135,463042
2021-02-25T00:00:00.000+0000,63.53,510357,0.7994,90.13,1.2171,0.1195,0.0136,463042
2021-02-26T00:00:00.000+0000,61.5,472723,0.793,90.93,1.216,0.1176,0.0134,484605
2021-03-01T00:00:00.000+0000,60.64,456679,0.7876,91.04,1.209,0.1159,0.0134,484605
2021-03-02T00:00:00.000+0000,59.75,464133,0.791,90.79,1.2051,0.1169,0.0135,484605
2021-03-03T00:00:00.000+0000,61.28,465311,0.7914,90.95,1.2085,0.118,0.0136,484605
2021-03-04T00:00:00.000+0000,63.83,694628,0.7892,91.63,1.2051,0.1174,0.0135,484605
2021-03-05T00:00:00.000+0000,66.09,573168,0.7888,91.98,1.1968,0.1166,0.0134,498403
2021-03-08T00:00:00.000+0000,65.05,533376,0.7916,92.31,1.1926,0.1174,0.0135,498403
2021-03-09T00:00:00.000+0000,64.01,554564,0.79,91.96,1.1852,0.1172,0.0134,498403
2021-03-10T00:00:00.000+0000,64.44,498488,0.7909,91.79,1.1898,0.1181,0.0135,498403
2021-03-11T00:00:00.000+0000,66.02,441063,0.7924,91.42,1.1926,0.1186,0.0136,498403
2021-03-12T00:00:00.000+0000,65.61,321714,0.798,91.68,1.1986,0.1189,0.0136,500799
2021-03-15T00:00:00.000+0000,65.39,378009,0.802,91.83,1.195,0.1188,0.0136,500799
