trade_date,energy_price,energy_volume,CAD/USD,DXY,EUR/USD,NOK/USD,RUB/USD,gas_storage
2021-01-04T00:00:00.000+0000,2.58,128377,0.786,89.88,1.2251,0.117,0.0135,3330
2021-01-05T00:00:00.000+0000,2.7,149828,0.7824,89.44,1.2252,0.1169,0.0134,3330
2021-01-06T00:00:00.000+0000,2.72,144690,0.789,89.53,1.23,0.1182,0.0135,3330
2021-01-07T00:00:00.000+0000,2.73,135480,0.7896,89.83,1.2341,0.1191,0.0135,3330
2021-01-08T00:00:00.000+0000,2.7,148730,0.7884,90.1,1.2271,0.1187,0.0134,3196
2021-01-11T00:00:00.000+0000,2.75,177248,0.7855,90.54,1.2186,0.1182,0.0134,3196
2021-01-12T00:00:00.000+0000,2.75,201432,0.783,90.05,1.2161,0.1173,0.0134,3196
2021-01-13T00:00:00.000+0000,2.73,169240,0.7869,90.32,1.2209,0.1184,0.0136,3196
2021-01-14T00:00:00.000+0000,2.67,163043,0.7875,90.24,1.2162,0.1182,0.0135,3196
2021-01-15T00:00:00.000+0000,2.74,150994,0.7907,90.78,1.2151,0.1181,0.0136,3009
2021-01-19T00:00:00.000+0000,2.55,211313,0.7844,90.5,1.2077,0.1164,0.0135,3009
2021-01-20T00:00:00.000+0000,2.54,133437,0.786,90.47,1.2139,0.1174,0.0136,3009
2021-01-21T00:00:00.000+0000,2.49,100319,0.792,90.13,1.2116,0.118,0.0136,3009
2021-01-22T00:00:00.000+0000,2.45,63833,0.7907,90.24,1.2166,0.119,0.0135,2881
2021-01-25T00:00:00.000+0000,2.6,42988,0.786,90.39,1.2169,0.1181,0.0133,2881
2021-01-26T00:00:00.000+0000,2.66,32233,0.7851,90.17,1.2146,0.1172,0.0133,2881
2021-01-27T00:00:00.000+0000,2.76,153190,0.7878,90.65,1.2163,0.117,0.0133,2881
2021-01-28T00:00:00.000+0000,2.66,159820,0.7803,90.46,1.2105,0.1155,0.0132,2881
2021-01-29T00:00:00.000+0000,2.56,133177,0.7794,90.58,1.212,0.1163,0.0131,2689
2021-02-01T00:00:00.000+0000,2.85,243658,0.7811,91.02,1.2124,0.1162,0.0132,2689
2021-02-02T00:00:00.000+0000,2.85,236392,0.7785,91.2,1.2069,0.1165,0.0131,2689
2021-02-03T00:00:00.000+0000,2.79,158484,0.7822,91.12,1.2039,0.1163,0.0131,2689
2021-02-04T00:00:00.000+0000,2.93,186926,0.7822,91.53,1.2042,0.1166,0.0132,2689
2021-02-05T00:00:00.000+0000,2.86,270029,0.7799,91.04,1.1967,0.1159,0.0132,2518
2021-02-08T00:00:00.000+0000,2.88,194660,0.7838,90.93,1.2049,0.1173,0.0134,2518
2021-02-09T00:00:00.000+0000,2.84,196927,0.7851,90.44,1.2054,0.1178,0.0135,2518
2021-02-10T00:00:00.000+0000,2.91,266986,0.7876,90.37,1.212,0.1184,0.0135,2518
2021-02-11T00:00:00.000+0000,2.87,261922,0.7876,90.42,1.2121,0.1182,0.0135,2518
2021-02-12T00:00:00.000+0000,2.91,190054,0.7874,90.48,1.2132,0.118,0.0136,2281
2021-02-16T00:00:00.000+0000,3.13,288942,0.7914,90.51,1.2132,0.1192,0.0136,2281
2021-02-17T00:00:00.000+0000,3.22,218620,0.7868,90.95,1.2092,0.1182,0.0136,2281
2021-02-18T00:00:00.000+0000,3.08,171654,0.7874,90.59,1.2048,0.1177,0.0136,2281
2021-02-19T00:00:00.000+0000,3.07,67064,0.7886,90.36,1.2092,0.1182,0.0135,1943
2021-02-22T00:00:00.000+0000,2.95,39814,0.7937,90.01,1.2126,0.1184,0.0135,1943
2021-02-23T00:00:00.000+0000,2.88,45697,0.7931,90.17,1.2167,0.1178,0.0135,1943
2021-02-24T00:00:00.000+0000,2.85,113572,0.7941,90.18,1.2152,0.1181,0.0135,1943
2021-02-25T00:00:00.000+0000,2.78,123990,0.7994,90.13,1.2171,0.1195,0.0136,1943
2021-02-26T00:00:00.000+0000,2.77,132989,0.793,90.93,1.216,0.1176,0.0134,1845
2021-03-01T00:00:00.000+0000,2.78,75971,0.7876,91.04,1.209,0.1159,0.0134,1845
2021-03-02T00:00:00.000+0000,2.84,109635,0.791,90.79,1.2051,0.1169,0.0135,1845
2021-03-03T00:00:00.000+0000,2.82,93789,0.7914,90.95,1.2085,0.118,0.0136,1845
2021-03-04T00:00:00.000+0000,2.75,138699,0.7892,91.63,1.2051,0.1174,0.0135,1845
2021-03-05T00:00:00.000+0000,2.7,116201,0.7888,91.98,1.1968,0.1166,0.0134,1793
2021-03-08T00:00:00.000+0000,2.66,130867,0.7916,92.31,1.1926,0.1174,0.0135,1793
2021-03-09T00:00:00.000+0000,2.66,96803,0.79,91.96,1.1852,0.1172,0.0134,1793
2021-03-10T00:00:00.000+0000,2.69,93180,0.7909,91.79,1.1898,0.1181,0.0135,1793
2021-03-11T00:00:00.000+0000,2.67,119770,0.7924,91.42,1.1926,0.1186,0.0136,1793
2021-03-12T00:00:00.000+0000,2.6,104726,0.798,91.68,1.1986,0.1189,0.0136,1782
2021-03-15T00:00:00.000+0000,2.48,136038,0.802,91.83,1.195,0.1188,0.0136,1782
2021-03-16T00:00:00.000+0000,2.56,99293,0.8016,91.87,1.1926,0.1183,0.0137,1782
2021-03-17T00:00:00.000+0000,2.53,91676,0.8037,91.4,1.1902,0.118,0.0137,1782
2021-03-18T00:00:00.000+0000,2.48,143768,0.8071,91.85,1.1983,0.1191,0.0136,1782
2021-03-19T00:00:00.000+0000,2.54,74375,0.8006,91.92,1.1918,0.1175,0.0135,1750
2021-03-22T00:00:00.000+0000,2.58,108225,0.7985,91.8,1.1883,0.1169,0.0135,1750
2021-03-23T00:00:00.000+0000,2.51,89372,0.7987,92.34,1.1933,0.1177,0.0134,1750
2021-03-24T00:00:00.000+0000,2.52,48420,0.7943,92.53,1.184,0.1155,0.0131,1750
2021-03-25T00:00:00.000+0000,2.57,39046,0.7951,92.88,1.1813,0.1166,0.0131,1750
2021-03-26T00:00:00.000+0000,2.56,35201,0.7935,92.77,1.1777,0.1159,0.0131,1764
2021-03-29T00:00:00.000+0000,2.59,103898,0.7946,92.94,1.1788,0.1165,0.0132,1764
2021-03-30T00:00:00.000+0000,2.62,100807,0.7943,93.3,1.1771,0.117,0.0132,1764
2021-03-31T00:00:00.000+0000,2.61,92080,0.7923,93.23,1.1724,0.117,0.0132,1764
2021-04-01T00:00:00.000+0000,2.64,116692,0.7959,92.93,1.1729,0.117,0.0132,1764
2021-04-05T00:00:00.000+0000,2.51,146892,0.7959,92.6,1.1768,0.1173,0.0131,1784
2021-04-06T00:00:00.000+0000,2.46,142675,0.7987,92.34,1.1819,0.1177,0.0131,1784
2021-04-07T00:00:00.000+0000,2.52,132266,0.7955,92.46,1.1874,0.118,0.013,1784
2021-04-08T00:00:00.000+0000,2.52,140798,0.7929,92.06,1.1874,0.118,0.013,1784
2021-04-09T00:00:00.000+0000,2.53,121593,0.796,92.16,1.1916,0.1183,0.013,1845
2021-04-12T00:00:00.000+0000,2.56,144317,0.798,92.14,1.1901,0.1176,0.0129,1845
2021-04-13T00:00:00.000+0000,2.62,166000,0.7962,91.85,1.1915,0.1179,0.0129,1845
2021-04-14T00:00:00.000+0000,2.62,129020,0.7976,91.69,1.1954,0.1181,0.0132,1845
2021-04-15T00:00:00.000+0000,2.66,135586,0.7989,91.67,1.1986,0.1192,0.0132,1845
2021-04-16T00:00:00.000+0000,2.68,94879,0.7972,91.56,1.1972,0.1194,0.0131,1883
2021-04-19T00:00:00.000+0000,2.75,105072,0.7989,91.07,1.1969,0.1193,0.0132,1883
2021-04-20T00:00:00.000+0000,2.73,96682,0.7986,91.24,1.2045,0.1207,0.0131,1883
2021-04-21T00:00:00.000+0000,2.69,99733,0.7929,91.16,1.2032,0.1196,0.013,1883
2021-04-22T00:00:00.000+0000,2.75,126330,0.7998,91.33,1.2038,0.12,0.0131,1883
2021-04-23T00:00:00.000+0000,2.73,50602,0.7998,90.86,1.2015,0.1197,0.0132,1898
2021-04-26T00:00:00.000+0000,2.79,34308,0.8008,90.81,1.209,0.1204,0.0133,1898
2021-04-27T00:00:00.000+0000,2.87,41283,0.8067,90.91,1.2082,0.1206,0.0133,1898
2021-04-28T00:00:00.000+0000,2.92,131127,0.806,90.61,1.209,0.1209,0.0134,1898
2021-04-29T00:00:00.000+0000,2.91,123113,0.8128,90.61,1.2136,0.1224,0.0134,1898
2021-04-30T00:00:00.000+0000,2.93,101566,0.8146,91.28,1.2127,0.1223,0.0134,1958
2021-05-03T00:00:00.000+0000,2.97,101038,0.8144,90.95,1.2028,0.1203,0.0133,1958
2021-05-04T00:00:00.000+0000,2.97,102051,0.8143,91.29,1.2061,0.1207,0.0134,1958
2021-05-05T00:00:00.000+0000,2.94,90213,0.813,91.31,1.2015,0.1201,0.0134,1958
