Price,Close,High,Low,Open,Volume
1/1/2021,0.013529749,0.013529968,0.013529749,0.013529749,0
1/4/2021,0.013490288,0.013690659,0.013425395,0.013451238,0
1/5/2021,0.013427252,0.013520987,0.013302649,0.013429129,0
1/6/2021,0.013488887,0.013621937,0.013474129,0.013474547,0
1/7/2021,0.013496825,0.013597875,0.01334725,0.013495277,0
1/8/2021,0.013405706,0.013543529,0.013367733,0.013405238,0
1/11/2021,0.013440499,0.013462937,0.013337246,0.013448289,0
1/12/2021,0.013399779,0.013596692,0.013378463,0.013399779,0
1/13/2021,0.013616521,0.013630849,0.013520457,0.013616317,0
1/14/2021,0.013541163,0.013678095,0.01351607,0.013541182,0
1/15/2021,0.013637858,0.013655513,0.013539494,0.013641485,0
1/18/2021,0.013587215,0.013586403,0.013448632,0.013581881,0
1/19/2021,0.013526345,0.013590169,0.013520128,0.013526236,0
1/20/2021,0.013555462,0.013660455,0.013544501,0.013555443,0
1/21/2021,0.013614073,0.013668465,0.013522102,0.013614056,0
1/22/2021,0.013523071,0.01353757,0.013303322,0.013522394,0
1/25/2021,0.013277585,0.013403567,0.01318548,0.013267105,0
1/26/2021,0.013283351,0.013347018,0.013197312,0.013282735,0
1/27/2021,0.013320883,0.013368948,0.01316517,0.013321025,0
1/28/2021,0.01317985,0.013201146,0.013075656,0.01318456,0
1/29/2021,0.013129114,0.013291863,0.013101523,0.01312996,0
2/1/2021,0.013178391,0.013272809,0.013134219,0.013184263,0
2/2/2021,0.013138256,0.013279683,0.013131236,0.013131236,0
2/3/2021,0.013119831,0.013199508,0.013105301,0.013117851,0
2/4/2021,0.013177749,0.013280566,0.013153395,0.013177852,0
2/5/2021,0.013246665,0.013418855,0.013219697,0.013246665,0
2/8/2021,0.013403405,0.013487632,0.013378463,0.013390824,0
2/9/2021,0.013454803,0.013540558,0.013444294,0.013454223,0
2/10/2021,0.013536068,0.01358511,0.013515888,0.013536085,0
2/11/2021,0.013537937,0.013600816,0.013528652,0.013537351,0
2/12/2021,0.013579761,0.013580223,0.013432736,0.013579706,0
2/15/2021,0.013591906,0.013672969,0.013554985,0.013596212,0
2/16/2021,0.013636611,0.01367656,0.013533448,0.013649082,0
2/17/2021,0.013597745,0.013601352,0.013481995,0.013601352,0
2/18/2021,0.013565632,0.013604702,0.013485449,0.013560057,0
2/19/2021,0.013543932,0.013553036,0.013500378,0.013544722,0
2/22/2021,0.013487341,0.013542484,0.013327113,0.013501199,0
2/23/2021,0.01347264,0.013576996,0.013465837,0.013471697,0
2/24/2021,0.013500596,0.013626799,0.013469555,0.013503113,0
2/25/2021,0.013606424,0.013644054,0.01345283,0.013606812,0
2/26/2021,0.013385752,0.013469284,0.013348996,0.013388889,0
3/1/2021,0.013392081,0.013533997,0.013419577,0.013431563,0
3/2/2021,0.013467741,0.013586033,0.013385089,0.013470934,0
3/3/2021,0.013552192,0.013624534,0.013504936,0.013552026,0
3/4/2021,0.013510903,0.013639438,0.013508384,0.013514938,0
3/5/2021,0.013412917,0.013493638,0.013377032,0.013415382,0
3/8/2021,0.013454025,0.013538762,0.01336166,0.013484812,0
3/9/2021,0.013427396,0.01355583,0.013406659,0.013427,0
3/10/2021,0.013508128,0.013587326,0.01348665,0.013506451,0
3/11/2021,0.013601019,0.013669774,0.013540412,0.013601076,0
3/12/2021,0.013642509,0.013662676,0.013566497,0.013642917,0
3/15/2021,0.013639123,0.013710612,0.013615761,0.013630143,0
